customer_id,first_purchase_date,last_purchase_date,orders,total_units,monetary_value,primary_country,recency_days,tenure_days,avg_order_value,r_score,f_score,m_score,rfm_score,rfm_segment,customer_lifetime_value,purchase_frequency
14646,2010-12-20 10:09:00,2011-12-08 12:12:00,73,196915,280206.02,Netherlands,2,355,3838.4386301369855,5,5,5,555,Champions,280206.02,73
18102,2010-12-07 16:42:00,2011-12-09 11:50:00,60,64124,259657.3,United Kingdom,1,367,4327.621666666667,5,5,5,555,Champions,259657.3,60
17450,2010-12-07 09:23:00,2011-12-01 13:29:00,46,69993,194550.79,United Kingdom,8,368,4229.365,5,5,5,555,Champions,194550.79,46
16446,2011-05-18 09:52:00,2011-12-09 09:15:00,2,80997,168472.5,United Kingdom,1,206,84236.25,5,3,5,535,Potential Loyalists,168472.5,2
14911,2010-12-01 14:05:00,2011-12-08 15:54:00,201,80265,143825.06,EIRE,1,373,715.5475621890547,5,5,5,555,Champions,143825.06,201
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,21,77374,124914.53,Australia,24,338,5948.310952380953,4,5,5,455,Champions,124914.53,21
14156,2010-12-03 11:48:00,2011-11-30 10:54:00,55,57885,117379.63,EIRE,10,372,2134.175090909091,5,5,5,555,Champions,117379.63,55
17511,2010-12-01 10:19:00,2011-12-07 10:12:00,31,64549,91062.38,United Kingdom,3,374,2937.496129032258,5,5,5,555,Champions,91062.38,31
16029,2010-12-01 09:57:00,2011-11-01 10:27:00,63,40208,81024.84,United Kingdom,39,374,1286.1085714285714,3,5,5,355,Loyal Customers,81024.84,63
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,77183.6,United Kingdom,326,326,77183.6,1,1,5,115,Hibernating,77183.6,1
16684,2010-12-16 17:34:00,2011-12-05 14:06:00,28,50255,66653.56,United Kingdom,4,358,2380.4842857142858,5,5,5,555,Champions,66653.56,28
14096,2011-08-30 10:49:00,2011-12-05 17:17:00,17,16352,65164.79,United Kingdom,4,102,3833.222941176471,5,5,5,555,Champions,65164.79,17
13694,2010-12-01 12:12:00,2011-12-06 09:32:00,50,63312,65039.62,United Kingdom,4,374,1300.7924,5,5,5,555,Champions,65039.62,50
15311,2010-12-01 09:41:00,2011-12-09 12:00:00,91,38194,60767.9,United Kingdom,1,374,667.7791208791209,5,5,5,555,Champions,60767.9,91
13089,2010-12-05 10:27:00,2011-12-07 09:02:00,97,31070,58825.83,United Kingdom,3,370,606.4518556701031,5,5,5,555,Champions,58825.83,97
17949,2010-12-03 13:12:00,2011-12-08 18:46:00,45,30546,58510.48,United Kingdom,1,371,1300.232888888889,5,5,5,555,Champions,58510.48,45
15769,2010-12-03 15:16:00,2011-12-02 13:52:00,26,29672,56252.72,United Kingdom,7,371,2163.566153846154,5,5,5,555,Champions,56252.72,26
15061,2010-12-02 15:19:00,2011-12-06 12:06:00,48,28920,54534.14,United Kingdom,4,372,1136.1279166666666,5,5,5,555,Champions,54534.14,48
